,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.GoodForKids,attributes.RestaurantsReservations,attributes.Caters,attributes.NoiseLevel,attributes.RestaurantsTableService,attributes.RestaurantsTakeOut,attributes.RestaurantsPriceRange2,attributes.OutdoorSeating,attributes.BikeParking,attributes.HasTV,attributes.WiFi,attributes.Alcohol,attributes.RestaurantsAttire,attributes.RestaurantsGoodForGroups,attributes.RestaurantsDelivery,attributes.GoodForMeal.dessert,attributes.GoodForMeal.latenight,attributes.GoodForMeal.lunch,attributes.GoodForMeal.dinner,attributes.GoodForMeal.brunch,attributes.GoodForMeal.breakfast,attributes.BusinessParking.garage,attributes.BusinessParking.street,attributes.BusinessParking.validated,attributes.BusinessParking.lot,attributes.BusinessParking.valet,attributes.Ambience.romantic,attributes.Ambience.intimate,attributes.Ambience.classy,attributes.Ambience.hipster,attributes.Ambience.divey,attributes.Ambience.touristy,attributes.Ambience.trendy,attributes.Ambience.upscale,attributes.Ambience.casual,attributes.BusinessAcceptsCreditCards,attributes.BusinessAcceptsBitcoin,attributes.ByAppointmentOnly,attributes.AcceptsInsurance,attributes.GoodForDancing,attributes.CoatCheck,attributes.HappyHour,attributes.Music.dj,attributes.Music.background_music,attributes.Music.no_music,attributes.Music.jukebox,attributes.Music.live,attributes.Music.video,attributes.Music.karaoke,attributes.BestNights.monday,attributes.BestNights.tuesday,attributes.BestNights.friday,attributes.BestNights.wednesday,attributes.BestNights.thursday,attributes.BestNights.sunday,attributes.BestNights.saturday,attributes.Ambience,attributes.BusinessParking,attributes.DogsAllowed,attributes.BYOBCorkage,attributes.DriveThru,attributes.Smoking,attributes.AgesAllowed,attributes.Corkage,attributes.BYOB,attributes.GoodForMeal,attributes.Music,attributes.DietaryRestrictions.dairy-free,attributes.DietaryRestrictions.gluten-free,attributes.DietaryRestrictions.vegan,attributes.DietaryRestrictions.kosher,attributes.DietaryRestrictions.halal,attributes.DietaryRestrictions.soy-free,attributes.DietaryRestrictions.vegetarian,attributes.BestNights,attributes.Open24Hours,attributes.DietaryRestrictions,attributes.RestaurantsCounterService
22,k2b3niokS_tosjah_rzCPw,Metro Pizza,6720 Sky Pointe Dr,Las Vegas,NV,89131,36.2836689,-115.2702841,3.5,303,1,"Restaurants,Pizza",True,False,True,average,,True,2,True,True,True,no,beer_and_wine,casual,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,3475 Las Vegas Blvd S,Las Vegas,NV,89109,36.120095,-115.171769,3.5,115,1,"Fast Food,Restaurants",True,False,False,loud,,True,1,True,False,False,no,beer_and_wine,casual,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CTN5Z3fs3jFHfyma8XxzVg,Paradise Boba Tea and Smoothie,1910 Village Center Cir,Las Vegas,NV,89134,36.1931903,-115.3037626,3.5,21,0,"Restaurants,Food,Coffee & Tea,Juice Bars & Smoothies",,,,,,,1,True,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7v-2HkyrfYkPf471v4gCmg,Starbucks,7400 S. Las Vegas Blvd.,Las Vegas,NV,89123,36.0539460743,-115.169012,2.0,36,1,"Food,Coffee & Tea",,,False,,,True,2,False,True,,free,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,hgQOESYp7CF4LnNI90XEiw,800 Degrees,2535 Las Vegas Blvd S,Las Vegas,NV,89109,36.1423694,-115.156034,3.5,296,1,"Pizza,Salad,Restaurants",True,False,False,average,False,True,2,False,False,False,free,beer_and_wine,casual,True,False,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BNDP3up8Ltn7oVXEt4YLqw,Camille By Manon,2170 S  Rainbow Blvd,Las Vegas,NV,89146,36.1481125,-115.2425536,3.5,45,0,"Food,Bakeries",,,,,,True,1,,True,,,,,,True,,,,,,,False,False,False,True,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,F06m2yQSPHIrb1IT7heYeQ,Rainbow Kitchen,7537 S Rainbow Blvd,Las Vegas,NV,89139,36.0514499584,-115.2441147342,4.0,101,1,"Seafood,Noodles,Restaurants",True,True,True,average,True,True,2,False,True,True,free,beer_and_wine,casual,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,gFjHMjQXn5pbObxJupiuPA,Bar Charlie,"The Palazzo Hotel, 3325 Las Vegas Blvd S",Las Vegas,NV,89109,36.124423,-115.146372,5.0,14,0,Restaurants,False,True,,,,,4,False,,,,full_bar,formal,False,False,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,X3s0BN02lS6EigSnJaSyDw,Teriwoki,"9500 S Eastern Ave, Ste 150",Las Vegas,NV,89123,36.0164931,-115.1170689,3.5,4,0,"Restaurants,Food",True,,,,,True,1,False,,,,none,casual,True,False,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,q4i-GbjeSp6ucBDXGE9DqA,Imsiam Thai Restaurant and Noodle,4105 W Sahara Ave,Las Vegas,NV,89102,36.1440225,-115.195896,4.5,66,0,"Noodles,Soup,Restaurants",True,True,,average,True,True,2,False,False,True,free,beer_and_wine,casual,True,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,X2qnigcKuTWL7x9fS2ZUdw,221 Wine Bar,221 N Rampart Blvd,Las Vegas,NV,89145,36.1760556932,-115.2918160348,4.0,10,0,"Restaurants,Tapas/Small Plates",False,False,,average,,False,2,False,False,True,no,full_bar,casual,False,False,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,H2Chxto2e6dHTDJ8-s3-pQ,Roberto's Taco Shop,2685 S Eastern Ave,Las Vegas,NV,89169,36.1410796647,-115.1193113918,3.0,64,1,"Fast Food,Restaurants",True,False,True,average,,True,1,False,True,False,no,none,casual,True,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
34,DZkVWxknDUuWX0-wmtGhQw,Deli Pizza Cafe,"8480 S Las Vegas Blvd, Ste 110",Las Vegas,NV,89123,36.0357393,-115.171471,3.0,29,0,"Delis,Restaurants,Sandwiches,Pizza",True,False,True,average,,True,1,False,,True,no,beer_and_wine,casual,True,True,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,SGPjYRy6x7R5ZlGa_nrskg,Ranch House Kitchen,6593 Las Vegas Blvd S,Las Vegas,NV,89119,36.067199,-115.1722323,2.0,63,0,Restaurants,True,True,,average,,True,2,True,,True,no,full_bar,casual,True,False,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,VVLGIq6ksrgGSfi7VBTmpg,America Cafe,,Las Vegas,NV,,36.1029312326,-115.1765441895,4.0,8,1,Restaurants,True,True,False,loud,,True,2,False,False,True,,full_bar,casual,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,yKpdzrqe_qIbu9dB6bj9Gg,PGA Tour Grill,5757 Wayne Newton Blvd,Las Vegas,NV,89119,36.0835550898,-115.1521726325,2.5,80,1,"Restaurants,Bars",False,False,,,True,True,2,True,False,True,free,,casual,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,lXCmTGagqHuPgaeN2g2P1Q,Marcos Pizza,5061 E Sahara Ave,Las Vegas,NV,89142,36.1438977,-115.0641604,3.5,39,1,"Restaurants,Pizza",True,False,,average,,True,2,False,False,False,no,none,casual,True,True,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,tk7__jHNlFMsfShjv5CJNQ,Prince Restaurant,"6795 W Flamingo Rd, Ste A",Las Vegas,NV,89103,36.1140708,-115.2409255,4.0,35,1,"Burgers,Barbeque,Specialty Food,Food,Restaurants",True,False,False,average,True,True,2,True,True,True,no,full_bar,casual,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8bZ49zy4KlFVu5teFETYhQ,Go Wild Sushi & Grill,"7293 W Sahara, Ste 4",Las Vegas,NV,89117,36.1433538,-115.2512854,3.5,53,0,"Sushi Bars,Restaurants",True,True,True,average,,True,2,False,,True,no,full_bar,casual,True,True,,,,,,,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,UIWt3IP92R5ELw3UQxZoeg,Icewine Tasting with Famed Vintner Donald Ziraldo,2000 Fashion Show Dr,Las Vegas,NV,89109,36.1296278,-115.1726598,5.0,4,1,"Food,Wineries",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,SAfuIUZMXrOnb3LWyvYjDA,Jun's Korean Restaurant,"8826 S Eastern Ave, Ste 113",Las Vegas,NV,89123,36.029295364,-115.1158845155,3.5,292,1,Restaurants,True,False,True,average,,True,2,False,True,True,no,none,casual,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,
43,vHIUZzeWg7VxL9Y-hrE43g,Dollar General Market,2224 S Nellis Blvd,Las Vegas,NV,89104,36.1465694239,-115.0639129596,2.0,6,1,Food,,,False,,,False,2,,True,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,DMMEWBNOJhB9nG_2J1lYvg,The Deuce Lounge,"ARIA Resort & Casino, 3730 S. Las Vegas Blvd.",Las Vegas,NV,89109,36.1073359817,-115.17361889,3.0,83,0,Bars,,,,average,,,2,False,False,True,,full_bar,,True,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,aidcfUzZLOjWgwlxfv3UlA,Tony Big's Pizza N Pasta,7150 S Durango Dr,Las Vegas,NV,89113,36.0583571386,-115.2784112221,3.0,106,1,"Pizza,Restaurants",False,True,True,quiet,True,True,2,False,True,True,free,full_bar,casual,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
46,7B5kcuCUkQD3AI3vqFI2cA,Mini-Mart Souvenirs,2630 Las Vegas Blvd S,Las Vegas,NV,89109,36.1371847958,-115.1625946909,3.5,3,1,Food,,,False,,,True,1,,False,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,W3ia8dkoGGRYEfFg_BiyPg,Einstein Bros Bagels,"7291 S Eastern Ave, Ste A",Las Vegas,NV,89119,36.0574675327,-115.1207419292,2.5,82,1,"Restaurants,Pizza,Food,Bagels,Sandwiches,Breakfast & Brunch",True,False,True,average,False,True,1,True,True,False,free,none,casual,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,e1DfwqDhYQYLKoyHmJu0hQ,Wing King,"Adrenaline Sports Bar & Grill, 3103 N Rancho Dr",Las Vegas,NV,89130,36.2151739,-115.2123105,4.5,36,0,Restaurants,False,False,True,average,True,True,1,False,True,True,free,full_bar,casual,True,True,False,False,False,False,False,False,,,,,,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3rFnH0MlGquQApfr4ss13Q,7-Eleven,4158 Koval Ln,Las Vegas,NV,89109,36.1135255527,-115.1635032892,4.0,16,1,"Food,Coffee & Tea",,,False,,,False,1,,True,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,V78f9CdEVTkKFkyhdTYVrQ,IHOP,6870 W Cheyenne Ave,Las Vegas,NV,89108,36.21935,-115.24493,3.5,66,1,"Breakfast & Brunch,Restaurants,Burgers",True,False,False,average,,True,2,False,True,False,no,none,casual,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,
51,ghc7Yqr7RkNbj3ydTpGuRQ,Tutti Bella Yogurt,"10670 Southern Highlands Pkwy, Ste 103",Las Vegas,NV,89141,35.9968788,-115.2075469,4.5,5,0,"Ice Cream & Frozen Yogurt,Food",,,,,,,1,,,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,M5A5r0HbMRfTzidqMKYHfw,Top Notch Barbeque,5301 W Charleston Blvd,Las Vegas,NV,89146,36.158189,-115.214682,4.0,6,0,"Barbeque,Restaurants,Food",True,False,True,average,,True,1,True,,True,no,none,casual,True,False,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,9phyjc0gaJTRO_YFJDH6mg,JoJo's Jerky,"707 Fremont St, Ste 1080",Las Vegas,NV,89109,36.1141366,-115.1719593,4.5,20,1,"Specialty Food,Food",,,,,,True,2,,True,,,,,,,,,,,,,False,False,False,False,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,yYkvonvBGZB6UMnpzr6Ryw,Burger King,8600 W Cheyenne Ave,Las Vegas,NV,89129,36.2191204,-115.280934,2.5,25,1,"Restaurants,Burgers,Fast Food",True,False,False,average,,True,1,False,True,True,free,none,casual,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,iT_z6pzoK1AbqaBrDbXhlQ,Jones Market & Deli,3389 S Jones Blvd,Las Vegas,NV,89146,36.1274446,-115.2250141,4.0,62,0,"Food,Beer,Wine & Spirits",,,False,,,True,2,,True,,,,,,,,,,,,,False,False,False,True,False,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,-xX-Vjol_fwWaN2mn1F1wg,Voodoo Pizza,3755 S Las Vegas Blvd,Las Vegas,NV,89109,36.1055294,-115.1721951,3.5,20,1,"Restaurants,Pizza",True,False,,,,True,1,False,False,True,,,casual,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
